date,pm25,pm10,o3,no2,so2,co
2014-10-11,258.0,15.0,21.0,12.0,2.0,1.0
2014-10-12,28.0,24.0,23.0,17.0,2.0,2.0
2014-10-13,43.0,70.0,26.0,33.0,3.0,5.0
2014-10-14,116.0,86.0,28.0,26.0,5.0,5.0
2014-10-15,108.0,72.0,33.0,27.0,5.0,5.0
2014-10-16,106.0,118.0,24.0,54.0,6.0,10.0
2014-10-17,178.0,172.0,51.0,64.0,11.0,20.0
2014-10-18,251.0,237.0,30.0,59.0,5.0,22.0
2014-10-19,338.0,143.0,15.0,38.0,1.0,13.0
2014-10-20,269.0,69.0,10.0,28.0,10.0,10.0
2014-10-21,114.0,102.0,2.0,35.0,6.0,10.0
2014-10-22,167.0,120.0,4.0,43.0,7.0,14.0
2014-10-23,198.0,206.0,22.0,50.0,6.0,21.0
2014-10-24,304.0,223.0,27.0,53.0,3.0,23.0
2014-10-25,405.0,65.0,31.0,22.0,1.0,7.0
2014-10-26,126.0,55.0,21.0,29.0,8.0,5.0
2014-10-27,91.0,82.0,19.0,33.0,8.0,8.0
2014-10-28,151.0,123.0,15.0,51.0,8.0,13.0
2014-10-29,193.0,152.0,6.0,60.0,12.0,18.0
2014-10-30,240.0,125.0,9.0,44.0,8.0,19.0
2014-10-31,237.0,65.0,22.0,28.0,3.0,8.0
2014-11-01,96.0,20.0,27.0,15.0,2.0,1.0
2014-11-02,32.0,43.0,32.0,29.0,3.0,5.0
2014-11-03,78.0,108.0,14.0,45.0,14.0,14.0
2014-11-04,192.0,64.0,26.0,30.0,4.0,10.0
2014-11-05,119.0,23.0,29.0,12.0,4.0,3.0
2014-11-06,45.0,61.0,15.0,26.0,8.0,9.0
2014-11-07,131.0,66.0,22.0,33.0,8.0,10.0
2014-11-08,161.0,55.0,26.0,32.0,3.0,8.0
2014-11-09,140.0,67.0,12.0,41.0,4.0,10.0
2014-11-10,153.0,57.0,29.0,20.0,1.0,6.0
2014-11-11,89.0,42.0,31.0,7.0,1.0,1.0
2014-11-12,26.0,38.0,21.0,26.0,3.0,5.0
2014-11-13,79.0,53.0,18.0,31.0,7.0,8.0
2014-11-14,113.0,136.0,1.0,58.0,24.0,23.0
2014-11-15,228.0,96.0,22.0,35.0,13.0,18.0
2014-11-16,171.0,29.0,24.0,21.0,7.0,4.0
2014-11-17,73.0,82.0,7.0,43.0,18.0,13.0
2014-11-18,161.0,256.0,1.0,69.0,31.0,38.0
2014-11-19,366.0,283.0,2.0,74.0,21.0,40.0
2014-11-20,403.0,181.0,13.0,55.0,10.0,25.0
2014-11-21,254.0,45.0,16.0,29.0,7.0,6.0
2014-11-22,99.0,101.0,1.0,45.0,15.0,20.0
2014-11-23,191.0,74.0,17.0,36.0,7.0,16.0
2014-11-24,157.0,127.0,8.0,44.0,19.0,22.0
2014-11-25,230.0,231.0,1.0,61.0,21.0,37.0
2014-11-26,345.0,92.0,24.0,28.0,7.0,11.0
2014-11-27,126.0,102.0,12.0,36.0,13.0,14.0
2014-11-28,170.0,257.0,1.0,48.0,13.0,36.0
2014-11-29,350.0,156.0,29.0,19.0,7.0,10.0
2014-11-30,145.0,66.0,25.0,8.0,3.0,2.0
2014-12-01,54.0,48.0,11.0,25.0,11.0,8.0
2014-12-02,112.0,52.0,29.0,14.0,5.0,5.0
2014-12-03,63.0,37.0,28.0,10.0,3.0,2.0
2014-12-04,37.0,42.0,24.0,24.0,9.0,5.0
2014-12-05,76.0,71.0,15.0,37.0,19.0,15.0
2014-12-06,137.0,58.0,23.0,24.0,15.0,11.0
2014-12-07,119.0,58.0,16.0,29.0,14.0,9.0
2014-12-08,122.0,255.0,2.0,59.0,41.0,54.0
2014-12-09,382.0,153.0,25.0,33.0,24.0,25.0
2014-12-10,199.0,39.0,26.0,16.0,8.0,4.0
2014-12-11,72.0,42.0,22.0,12.0,5.0,2.0
2014-12-12,51.0,57.0,17.0,25.0,12.0,8.0
2014-12-13,111.0,91.0,8.0,42.0,22.0,19.0
2014-12-14,174.0,95.0,26.0,26.0,17.0,14.0
2014-12-15,130.0,31.0,25.0,7.0,3.0,3.0
2014-12-16,44.0,88.0,14.0,35.0,19.0,15.0
2014-12-17,161.0,121.0,3.0,43.0,45.0,34.0
2014-12-18,222.0,47.0,26.0,20.0,9.0,10.0
2014-12-19,120.0,13.0,21.0,15.0,5.0,3.0
2014-12-20,41.0,30.0,19.0,16.0,6.0,4.0
2014-12-21,60.0,88.0,7.0,43.0,24.0,19.0
2014-12-22,170.0,90.0,21.0,41.0,27.0,22.0
2014-12-23,170.0,34.0,28.0,16.0,9.0,3.0
2014-12-24,54.0,33.0,25.0,25.0,11.0,5.0
2014-12-25,82.0,125.0,1.0,51.0,42.0,33.0
2014-12-26,226.0,167.0,2.0,67.0,48.0,40.0
2014-12-27,288.0,167.0,19.0,55.0,34.0,31.0
2014-12-28,255.0,152.66361658850204,27.382712626444658,42.18564128852654,24.48319346353078,23.47124027681946
2014-12-31,175.6640470497919,67.0,19.0,29.0,16.0,11.0
2015-01-01,137.0,59.0,17.0,32.0,17.0,11.0
2015-01-02,123.0,140.0,3.0,54.0,45.0,33.0
2015-01-03,252.0,156.0,8.0,58.0,41.0,35.0
2015-01-04,258.0,106.0,35.0,31.0,29.0,22.0
2015-01-05,150.0,43.0,23.0,21.0,13.0,6.0
2015-01-06,96.0,73.0,11.0,36.0,24.0,17.0
2015-01-07,150.0,136.0,2.0,53.0,28.0,31.0
2015-01-08,222.0,83.0,24.0,38.0,22.0,18.0
2015-01-09,148.0,137.0,8.0,62.0,38.0,32.0
2015-01-10,245.0,40.0,22.0,21.0,8.0,6.0
2015-01-11,79.0,85.0,17.0,33.0,23.0,15.0
2015-01-12,179.0,133.0,3.0,49.0,35.0,30.0
2015-01-13,239.0,184.0,2.0,52.0,39.0,30.0
2015-01-14,288.0,307.0,2.0,61.0,28.0,41.0
2015-01-15,396.0,94.0,26.0,21.0,5.0,13.0
2015-01-16,143.0,68.0,16.0,28.0,15.0,9.0
2015-01-17,120.0,100.0,32.0,29.0,18.0,17.0
2015-01-18,135.0,63.0,16.0,31.0,16.0,12.0
2015-01-19,117.0,81.0,12.0,37.0,27.0,17.0
2015-01-20,169.0,22.0,30.0,18.0,7.0,4.0
2015-01-21,58.0,91.0,11.0,43.0,28.0,18.0
2015-01-22,173.0,153.0,4.0,62.0,40.0,34.0
2015-01-23,276.0,84.0,12.0,34.0,17.0,15.0
2015-01-24,157.0,39.78778222154539,11.0,27.0,10.0,12.0
2015-01-25,189.0,32.0,29.0,22.0,6.0,14.0
2015-01-26,135.0,30.0,26.0,16.0,7.0,5.0
2015-01-27,66.0,47.0,23.0,26.0,14.0,10.0
2015-01-28,99.0,55.0,28.0,21.0,13.0,9.0
2015-01-29,120.0,23.0,31.0,12.0,7.0,3.0
2015-01-30,45.0,36.0,25.0,24.0,10.0,6.0
2015-01-31,84.0,75.0,15.0,36.0,22.0,15.0
2015-02-01,151.0,110.0,14.0,46.0,33.0,23.0
2015-02-02,212.0,42.0,31.0,29.0,15.0,14.0
2015-02-03,167.0,37.0,32.0,10.0,5.0,2.0
2015-02-04,45.0,32.0,31.0,20.0,7.0,4.0
2015-02-05,76.0,70.0,19.0,43.0,17.0,15.0
2015-02-06,152.0,32.0,37.0,10.0,4.0,2.0
2015-02-07,40.0,31.0,29.0,15.0,8.0,5.0
2015-02-08,70.0,96.0,13.0,41.0,28.0,17.0
2015-02-09,184.0,107.0,18.0,54.0,28.0,23.0
2015-02-10,199.0,51.0,37.0,25.0,17.0,12.0
2015-02-11,101.0,35.0,32.0,24.0,9.0,6.0
2015-02-12,91.0,75.0,24.0,42.0,20.0,20.0
2015-02-13,204.0,177.50480672513916,25.0,61.0,36.0,31.0
2015-02-14,315.0,193.0,8.0,64.0,48.0,43.0
2015-02-15,342.0,51.0,27.0,25.0,20.0,19.0
2015-02-16,166.0,32.0,20.0,14.0,5.0,4.0
2015-02-17,75.0,57.0,33.0,15.0,10.0,6.0
2015-02-18,93.0,148.0,28.0,18.0,30.0,11.0
2015-02-19,249.0,230.3371800095505,23.0,17.0,6.0,13.0
2015-02-20,197.0,262.0,29.0,13.0,8.0,11.0
2015-02-21,209.0,204.0,26.0,8.0,2.0,2.0
2015-02-22,106.0,72.0,25.0,16.0,10.0,5.0
2015-02-23,113.0,128.0,22.0,29.0,21.0,20.0
2015-02-24,223.0,56.0,31.0,16.0,7.0,8.0
2015-02-25,112.0,22.0,32.0,11.0,4.0,3.0
2015-02-26,56.0,32.0,21.0,15.0,8.0,7.0
2015-02-27,77.0,103.0,5.0,20.0,7.0,13.0
2015-02-28,205.0,61.0,30.0,21.0,6.0,6.0
2015-03-01,104.0,68.0,28.0,27.0,13.0,14.0
2015-03-02,126.0,37.0,28.0,4.0,1.0,1.0
2015-03-03,31.0,29.0,29.0,15.0,6.0,4.0
2015-03-04,69.0,82.0,24.0,30.0,24.0,13.0
2015-03-05,179.0,128.0,25.0,41.0,33.0,20.0
2015-03-06,251.0,148.0,38.0,43.0,24.0,22.0
2015-03-07,282.0,31.0,31.0,27.0,16.0,14.0
2015-03-08,166.0,20.0,29.0,6.0,1.0,1.0
2015-03-09,31.0,37.0,30.0,19.0,5.0,5.0
2015-03-10,79.0,48.0,28.0,29.0,9.0,9.0
2015-03-11,107.0,69.0,23.0,36.0,14.0,14.0
2015-03-12,156.0,58.0,34.0,31.0,12.0,10.0
2015-03-13,127.0,78.0,16.0,39.0,23.0,15.0
2015-03-14,174.0,117.0,38.0,42.0,16.0,16.0
2015-03-15,186.0,184.0,14.0,43.0,19.0,18.0
2015-03-16,262.0,200.0,43.0,33.0,10.0,17.0
2015-03-17,262.0,58.0,37.0,25.0,6.0,6.0
2015-03-18,117.0,121.0,27.0,42.0,6.0,10.0
2015-03-19,169.0,119.0,39.0,27.0,2.0,5.0
2015-03-20,115.0,75.0,34.0,16.0,2.0,2.0
2015-03-21,65.0,73.0,36.0,10.0,2.0,2.0
2015-03-22,69.0,60.0,34.0,24.0,3.0,6.0
2015-03-23,101.0,80.0,38.0,32.0,16.0,16.0
